Immobilienart,Region,Zeitabschnitt,"Index final(Basis: 2010_1 = 100)"
gebrauchte Eigenheime,Bremer Umland,2005_3,"101,87"
gebrauchte Eigenheime,Bremer Umland,2005_4,"101,49"
gebrauchte Eigenheime,Bremer Umland,2006_1,"103,13"
gebrauchte Eigenheime,Bremer Umland,2006_2,"102,69"
gebrauchte Eigenheime,Bremer Umland,2006_3,"98,38"
gebrauchte Eigenheime,Bremer Umland,2006_4,96
gebrauchte Eigenheime,Bremer Umland,2007_1,"96,86"
gebrauchte Eigenheime,Bremer Umland,2007_2,"97,7"
gebrauchte Eigenheime,Bremer Umland,2007_3,"96,87"
gebrauchte Eigenheime,Bremer Umland,2007_4,"96,7"
gebrauchte Eigenheime,Bremer Umland,2008_1,"98,1"
gebrauchte Eigenheime,Bremer Umland,2008_2,"97,85"
gebrauchte Eigenheime,Bremer Umland,2008_3,"96,81"
gebrauchte Eigenheime,Bremer Umland,2008_4,"96,65"
gebrauchte Eigenheime,Bremer Umland,2009_1,"97,68"
gebrauchte Eigenheime,Bremer Umland,2009_2,"98,64"
gebrauchte Eigenheime,Bremer Umland,2009_3,"98,6"
gebrauchte Eigenheime,Bremer Umland,2009_4,"99,31"
gebrauchte Eigenheime,Bremer Umland,2010_1,100
gebrauchte Eigenheime,Bremer Umland,2010_2,"99,52"
gebrauchte Eigenheime,Bremer Umland,2010_3,"99,51"
gebrauchte Eigenheime,Bremer Umland,2010_4,"100,94"
gebrauchte Eigenheime,Bremer Umland,2011_1,"103,75"
gebrauchte Eigenheime,Bremer Umland,2011_2,"105,96"
gebrauchte Eigenheime,Bremer Umland,2011_3,"107,29"
gebrauchte Eigenheime,Bremer Umland,2011_4,"108,74"
gebrauchte Eigenheime,Bremer Umland,2012_1,"109,54"
gebrauchte Eigenheime,Bremer Umland,2012_2,"110,62"
gebrauchte Eigenheime,Bremer Umland,2012_3,"113,18"
gebrauchte Eigenheime,Bremer Umland,2012_4,"115,1"
gebrauchte Eigenheime,Bremer Umland,2013_1,"115,83"
gebrauchte Eigenheime,Bremer Umland,2013_2,"117,51"
