Immobilienart;Region;Zeitabschnitt;Anzahl_Mittel;Index_final
gebrauchte Eigenheime;4104;2020_2;;
gebrauchte Eigenheime;4104;2020_3;;
gebrauchte Eigenheime;4104;2020_4;;
gebrauchte Eigenheime;4104;2021_1;;
gebrauchte Eigenheime;4104;2021_2;;
gebrauchte Eigenheime;4104;2021_3;;
gebrauchte Eigenheime;4104;2021_4;;
gebrauchte Eigenheime;4105;2000_1;305;
gebrauchte Eigenheime;4105;2000_2;310;115,2580271
gebrauchte Eigenheime;4105;2000_3;315;112,8728586
gebrauchte Eigenheime;4105;2000_4;312;112,5986312
gebrauchte Eigenheime;4105;2001_1;310;113,3909261
gebrauchte Eigenheime;4105;2001_2;373;114,0505596
gebrauchte Eigenheime;4105;2001_3;354;113,7290636
gebrauchte Eigenheime;4105;2001_4;318;112,8413046
gebrauchte Eigenheime;4105;2002_1;310;111,9443555
gebrauchte Eigenheime;4105;2002_2;349;110,6288554
gebrauchte Eigenheime;4105;2002_3;349;109,4141479
gebrauchte Eigenheime;4105;2002_4;519;108,6363206
gebrauchte Eigenheime;4105;2003_1;239;107,8100652
gebrauchte Eigenheime;4105;2003_2;324;107,5916269
gebrauchte Eigenheime;4105;2003_3;418;107,3530662
gebrauchte Eigenheime;4105;2003_4;444;106,542395
gebrauchte Eigenheime;4105;2004_1;241;106,0603671
gebrauchte Eigenheime;4105;2004_2;344;105,7636239
gebrauchte Eigenheime;4105;2004_3;365;104,0075021
gebrauchte Eigenheime;4105;2004_4;454;102,3552793
gebrauchte Eigenheime;4105;2005_1;271,5;102,7690128
gebrauchte Eigenheime;4105;2005_2;351,5;103,9268844
gebrauchte Eigenheime;4105;2005_3;413;103,3360933
gebrauchte Eigenheime;4105;2005_4;722;102,896198
gebrauchte Eigenheime;4105;2006_1;163;102,6537971
gebrauchte Eigenheime;4105;2006_2;293;101,3753864
gebrauchte Eigenheime;4105;2006_3;309;100,455658
gebrauchte Eigenheime;4105;2006_4;387,5;100,2470581
gebrauchte Eigenheime;4105;2007_1;280;100,0929571
gebrauchte Eigenheime;4105;2007_2;348,5;99,75085652
gebrauchte Eigenheime;4105;2007_3;378,5;99,54868842
gebrauchte Eigenheime;4105;2007_4;352,5;98,78325388
gebrauchte Eigenheime;4105;2008_1;323,5;97,65375513
gebrauchte Eigenheime;4105;2008_2;408;96,95476024
gebrauchte Eigenheime;4105;2008_3;371,5;96,47927304
gebrauchte Eigenheime;4105;2008_4;337,5;97,48080194
gebrauchte Eigenheime;4105;2009_1;319,5;99,05229669
gebrauchte Eigenheime;4105;2009_2;376;98,20484199
gebrauchte Eigenheime;4105;2009_3;354,5;97,27845247
gebrauchte Eigenheime;4105;2009_4;292;98,25538658
gebrauchte Eigenheime;4105;2010_1;312,6666667;100
